family	shade0	shade1	shade2	shade3
blue	#a8b8e2	#c0cbea	#d5ddf1	#e5eaf6
green	#6acd70	#96dc9a	#bbe8bd	#d5f1d7
teal	#5cc9c9	#8cd9d9	#b4e6e6	#d1f0f0
purple	#c3afe4	#d4c5ec	#e2d9f2	#ede7f7
yellow	#bebe3f	#d0d073	#e0e0a3	#ececc6
orange	#dab091	#e5c6b0	#edd9ca	#f4e8de
pink	#e1a4e1	#e9bee9	#f1d4f1	#f6e4f6
plum	#dca8d6	#e6c0e1	#eed5eb	#f5e5f3
mahogany	#dfacac	#e8c3c3	#f0d7d7	#f6e6e6
rust	#deae9c	#e7c4b7	#efd8cf	#f5e7e2
terracotta	#d2b2a3	#dfc7bc	#e9dad2	#f2e8e3
wine	#deaabc	#e7c2cf	#efd6df	#f5e6eb
mauve	#c1b5bf	#d2c9d1	#e1dbe0	#ece9ec
navy	#acb8db	#c3cbe5	#d7dcee	#e6eaf4
midnight	#acb9cf	#c3ccdc	#d7dde8	#e6eaf1
slate	#aeb9cc	#c4ccda	#d8dde6	#e7eaf0
denim	#9fbbdd	#b9cee7	#d1deef	#e2ebf5
steel	#adb9cc	#c3ccda	#d7dde6	#e6eaf0
indigo	#b4b5de	#c9c9e7	#dbdbef	#e9e9f5
forest	#a0c0a3	#bad2bc	#d1e1d2	#e3ece3
moss	#acbe9b	#c3d0b6	#d7e0cf	#e6ece1
sage	#adbbb6	#c3ceca	#d7dedc	#e6ebe9
evergreen	#97c1b8	#b3d2cc	#cde1dd	#e0ecea
olive-dark	#afbe96	#c5d0b3	#d8dfcc	#e7ebe0
petrol	#9abecc	#b6d0da	#cee0e7	#e1ecf0
peacock	#94bfcf	#b2d1dc	#cce0e8	#dfecf1
deepteal	#8bc2c2	#abd3d3	#c7e2e2	#ddeded
eggplant	#ceadd9	#dcc4e4	#e7d7ed	#f0e7f4
royal	#b5b5df	#c9c9e8	#dbdbf0	#e9e9f5
violet-dark	#bdb3d6	#cfc8e1	#dfdaeb	#ebe8f3
lavender-dark	#b6b6cc	#cacada	#dcdce6	#e9e9f0
amber	#d1b486	#dec9a8	#e9dbc5	#f1e9db
bronze	#ccb3a7	#dac8bf	#e7dad4	#f0e8e4
ochre	#c7b69d	#d6cab8	#e4dcd0	#eee9e2
graphite	#b7b7c2	#cbcbd3	#dcdce2	#e9e9ed
charcoal	#b8b8b8	#cbcbcb	#dddddd	#eaeaea
gunmetal	#b0b9c7	#c5ccd6	#d9dde4	#e7eaee
